Vardas         Pavarde        Galutinis balas (vid.)
---------------------------------------------------------------------
Vardas1         Pavarde1        4.88
Vardas3         Pavarde3        2.92
Vardas4         Pavarde4        4.68
Vardas5         Pavarde5        3.56
Vardas7         Pavarde7        4.48
Vardas8         Pavarde8        4.16
Vardas9         Pavarde9        4.80
Vardas13        Pavarde13       4.12
Vardas16        Pavarde16       4.20
Vardas21        Pavarde21       3.00
Vardas22        Pavarde22       4.32
Vardas26        Pavarde26       3.48
Vardas28        Pavarde28       4.36
Vardas31        Pavarde31       4.44
Vardas35        Pavarde35       4.88
Vardas37        Pavarde37       4.60
Vardas38        Pavarde38       4.04
Vardas41        Pavarde41       4.92
Vardas42        Pavarde42       1.72
Vardas43        Pavarde43       3.12
Vardas45        Pavarde45       4.20
Vardas46        Pavarde46       3.08
Vardas48        Pavarde48       4.16
Vardas50        Pavarde50       2.68
Vardas51        Pavarde51       3.00
Vardas54        Pavarde54       3.72
Vardas55        Pavarde55       3.84
Vardas58        Pavarde58       3.80
Vardas59        Pavarde59       3.32
Vardas60        Pavarde60       3.96
Vardas64        Pavarde64       2.84
Vardas65        Pavarde65       3.12
Vardas69        Pavarde69       4.80
Vardas70        Pavarde70       3.72
Vardas71        Pavarde71       3.40
Vardas72        Pavarde72       4.24
Vardas75        Pavarde75       3.16
Vardas85        Pavarde85       4.08
Vardas88        Pavarde88       3.96
Vardas92        Pavarde92       3.80
Vardas99        Pavarde99       4.04
Vardas101       Pavarde101      3.96
Vardas102       Pavarde102      3.56
Vardas103       Pavarde103      3.40
Vardas104       Pavarde104      3.20
Vardas105       Pavarde105      2.56
Vardas107       Pavarde107      3.76
Vardas112       Pavarde112      4.64
Vardas113       Pavarde113      4.08
Vardas114       Pavarde114      4.32
Vardas118       Pavarde118      2.92
Vardas121       Pavarde121      4.16
Vardas122       Pavarde122      3.28
Vardas123       Pavarde123      4.76
Vardas127       Pavarde127      3.20
Vardas128       Pavarde128      2.36
Vardas129       Pavarde129      4.40
Vardas130       Pavarde130      2.44
Vardas134       Pavarde134      4.16
Vardas135       Pavarde135      3.68
Vardas141       Pavarde141      3.00
Vardas144       Pavarde144      2.12
Vardas145       Pavarde145      4.08
Vardas146       Pavarde146      2.44
Vardas151       Pavarde151      3.16
Vardas152       Pavarde152      3.56
Vardas153       Pavarde153      2.52
Vardas154       Pavarde154      4.36
Vardas156       Pavarde156      3.72
Vardas158       Pavarde158      4.96
Vardas161       Pavarde161      3.00
Vardas163       Pavarde163      4.00
Vardas167       Pavarde167      3.56
Vardas169       Pavarde169      4.36
Vardas170       Pavarde170      3.80
Vardas171       Pavarde171      4.92
Vardas172       Pavarde172      2.60
Vardas174       Pavarde174      1.72
Vardas176       Pavarde176      3.72
Vardas177       Pavarde177      4.04
Vardas178       Pavarde178      4.52
Vardas181       Pavarde181      3.96
Vardas182       Pavarde182      3.60
Vardas185       Pavarde185      4.56
Vardas186       Pavarde186      4.40
Vardas187       Pavarde187      2.52
Vardas189       Pavarde189      3.52
Vardas190       Pavarde190      4.92
Vardas192       Pavarde192      3.76
Vardas193       Pavarde193      4.88
Vardas194       Pavarde194      4.52
Vardas195       Pavarde195      2.88
Vardas198       Pavarde198      2.48
Vardas200       Pavarde200      3.28
Vardas201       Pavarde201      4.16
Vardas208       Pavarde208      4.56
Vardas215       Pavarde215      4.08
Vardas217       Pavarde217      2.92
Vardas220       Pavarde220      2.72
Vardas221       Pavarde221      4.64
Vardas222       Pavarde222      4.40
Vardas225       Pavarde225      2.60
Vardas230       Pavarde230      4.48
Vardas232       Pavarde232      3.60
Vardas234       Pavarde234      2.72
Vardas237       Pavarde237      2.52
Vardas238       Pavarde238      4.88
Vardas240       Pavarde240      4.16
Vardas242       Pavarde242      4.52
Vardas245       Pavarde245      3.84
Vardas248       Pavarde248      2.92
Vardas249       Pavarde249      4.96
Vardas250       Pavarde250      4.52
Vardas253       Pavarde253      4.24
Vardas256       Pavarde256      3.84
Vardas264       Pavarde264      4.96
Vardas267       Pavarde267      4.12
Vardas273       Pavarde273      4.32
Vardas274       Pavarde274      4.04
Vardas276       Pavarde276      3.88
Vardas277       Pavarde277      3.04
Vardas280       Pavarde280      2.92
Vardas281       Pavarde281      4.00
Vardas282       Pavarde282      3.60
Vardas284       Pavarde284      4.96
Vardas285       Pavarde285      4.96
Vardas288       Pavarde288      3.88
Vardas289       Pavarde289      3.08
Vardas291       Pavarde291      2.04
Vardas293       Pavarde293      4.88
Vardas295       Pavarde295      4.56
Vardas296       Pavarde296      4.48
Vardas297       Pavarde297      4.68
Vardas298       Pavarde298      4.68
Vardas300       Pavarde300      3.96
Vardas301       Pavarde301      3.20
Vardas302       Pavarde302      4.60
Vardas304       Pavarde304      3.00
Vardas306       Pavarde306      4.36
Vardas308       Pavarde308      3.44
Vardas309       Pavarde309      3.76
Vardas310       Pavarde310      4.12
Vardas314       Pavarde314      4.44
Vardas315       Pavarde315      2.64
Vardas317       Pavarde317      2.52
Vardas318       Pavarde318      4.52
Vardas323       Pavarde323      4.52
Vardas326       Pavarde326      4.20
Vardas328       Pavarde328      2.44
Vardas329       Pavarde329      4.60
Vardas330       Pavarde330      2.12
Vardas340       Pavarde340      2.20
Vardas341       Pavarde341      3.76
Vardas342       Pavarde342      4.72
Vardas343       Pavarde343      2.60
Vardas351       Pavarde351      4.92
Vardas352       Pavarde352      3.52
Vardas355       Pavarde355      3.48
Vardas359       Pavarde359      3.88
Vardas367       Pavarde367      3.12
Vardas368       Pavarde368      4.48
Vardas371       Pavarde371      3.88
Vardas373       Pavarde373      2.76
Vardas374       Pavarde374      3.68
Vardas375       Pavarde375      3.92
Vardas377       Pavarde377      3.64
Vardas378       Pavarde378      4.52
Vardas379       Pavarde379      4.36
Vardas382       Pavarde382      4.32
Vardas386       Pavarde386      4.32
Vardas388       Pavarde388      4.64
Vardas389       Pavarde389      3.80
Vardas391       Pavarde391      3.12
