Vardas         Pavarde        Galutinis balas (vid.)
---------------------------------------------------------------------
Vardas1        Pavarde1        4.88
Vardas2        Pavarde2        6.28
Vardas3        Pavarde3        2.92
Vardas4        Pavarde4        4.68
Vardas5        Pavarde5        3.56
Vardas6        Pavarde6        8.64
Vardas7        Pavarde7        4.48
Vardas8        Pavarde8        4.16
Vardas9        Pavarde9        4.80
Vardas10       Pavarde10       5.56
Vardas11       Pavarde11       6.16
Vardas12       Pavarde12       6.84
Vardas13       Pavarde13       4.12
Vardas14       Pavarde14       5.12
Vardas15       Pavarde15       7.48
Vardas16       Pavarde16       4.20
Vardas17       Pavarde17       6.52
Vardas18       Pavarde18       5.40
Vardas19       Pavarde19       6.08
Vardas20       Pavarde20       6.84
Vardas21       Pavarde21       3.00
Vardas22       Pavarde22       4.32
Vardas23       Pavarde23       7.04
Vardas24       Pavarde24       8.32
Vardas25       Pavarde25       5.20
Vardas26       Pavarde26       3.48
Vardas27       Pavarde27       6.52
Vardas28       Pavarde28       4.36
Vardas29       Pavarde29       5.40
Vardas30       Pavarde30       5.04
Vardas31       Pavarde31       4.44
Vardas32       Pavarde32       5.80
Vardas33       Pavarde33       5.84
Vardas34       Pavarde34       7.80
Vardas35       Pavarde35       4.88
Vardas36       Pavarde36       8.76
Vardas37       Pavarde37       4.60
Vardas38       Pavarde38       4.04
Vardas39       Pavarde39       5.24
Vardas40       Pavarde40       7.20
Vardas41       Pavarde41       4.92
Vardas42       Pavarde42       1.72
Vardas43       Pavarde43       3.12
Vardas44       Pavarde44       5.56
Vardas45       Pavarde45       4.20
Vardas46       Pavarde46       3.08
Vardas47       Pavarde47       6.28
Vardas48       Pavarde48       4.16
Vardas49       Pavarde49       8.72
Vardas50       Pavarde50       2.68
Vardas51       Pavarde51       3.00
Vardas52       Pavarde52       6.56
Vardas53       Pavarde53       7.88
Vardas54       Pavarde54       3.72
Vardas55       Pavarde55       3.84
Vardas56       Pavarde56       8.08
Vardas57       Pavarde57       6.48
Vardas58       Pavarde58       3.80
Vardas59       Pavarde59       3.32
Vardas60       Pavarde60       3.96
Vardas61       Pavarde61       6.92
Vardas62       Pavarde62       8.08
Vardas63       Pavarde63       8.24
Vardas64       Pavarde64       2.84
Vardas65       Pavarde65       3.12
Vardas66       Pavarde66       6.44
Vardas67       Pavarde67       5.64
Vardas68       Pavarde68       5.24
Vardas69       Pavarde69       4.80
Vardas70       Pavarde70       3.72
Vardas71       Pavarde71       3.40
Vardas72       Pavarde72       4.24
Vardas73       Pavarde73       6.68
Vardas74       Pavarde74       6.80
Vardas75       Pavarde75       3.16
Vardas76       Pavarde76       6.60
Vardas77       Pavarde77       7.52
Vardas78       Pavarde78       7.36
Vardas79       Pavarde79       8.56
Vardas80       Pavarde80       8.48
Vardas81       Pavarde81       7.36
Vardas82       Pavarde82       6.96
Vardas83       Pavarde83       7.36
Vardas84       Pavarde84       5.56
Vardas85       Pavarde85       4.08
Vardas86       Pavarde86       6.52
Vardas87       Pavarde87       5.96
Vardas88       Pavarde88       3.96
Vardas89       Pavarde89       6.60
Vardas90       Pavarde90       5.60
Vardas91       Pavarde91       7.12
Vardas92       Pavarde92       3.80
Vardas93       Pavarde93       7.44
Vardas94       Pavarde94       7.28
Vardas95       Pavarde95       6.92
Vardas96       Pavarde96       6.56
Vardas97       Pavarde97       5.20
Vardas98       Pavarde98       7.52
Vardas99       Pavarde99       4.04
Vardas100      Pavarde100      5.16
Vardas101      Pavarde101      3.96
Vardas102      Pavarde102      3.56
Vardas103      Pavarde103      3.40
Vardas104      Pavarde104      3.20
Vardas105      Pavarde105      2.56
Vardas106      Pavarde106      7.40
Vardas107      Pavarde107      3.76
Vardas108      Pavarde108      6.92
Vardas109      Pavarde109      7.12
Vardas110      Pavarde110      7.60
Vardas111      Pavarde111      6.72
Vardas112      Pavarde112      4.64
Vardas113      Pavarde113      4.08
Vardas114      Pavarde114      4.32
Vardas115      Pavarde115      6.48
Vardas116      Pavarde116      5.96
Vardas117      Pavarde117      8.88
Vardas118      Pavarde118      2.92
Vardas119      Pavarde119      6.64
Vardas120      Pavarde120      5.76
Vardas121      Pavarde121      4.16
Vardas122      Pavarde122      3.28
Vardas123      Pavarde123      4.76
Vardas124      Pavarde124      6.32
Vardas125      Pavarde125      7.04
Vardas126      Pavarde126      5.52
Vardas127      Pavarde127      3.20
Vardas128      Pavarde128      2.36
Vardas129      Pavarde129      4.40
Vardas130      Pavarde130      2.44
Vardas131      Pavarde131      6.56
Vardas132      Pavarde132      5.40
Vardas133      Pavarde133      7.68
Vardas134      Pavarde134      4.16
Vardas135      Pavarde135      3.68
Vardas136      Pavarde136      7.84
Vardas137      Pavarde137      7.60
Vardas138      Pavarde138      5.56
Vardas139      Pavarde139      7.88
Vardas140      Pavarde140      6.84
Vardas141      Pavarde141      3.00
Vardas142      Pavarde142      8.36
Vardas143      Pavarde143      6.08
Vardas144      Pavarde144      2.12
Vardas145      Pavarde145      4.08
Vardas146      Pavarde146      2.44
Vardas147      Pavarde147      5.72
Vardas148      Pavarde148      6.64
Vardas149      Pavarde149      7.68
Vardas150      Pavarde150      5.44
Vardas151      Pavarde151      3.16
Vardas152      Pavarde152      3.56
Vardas153      Pavarde153      2.52
Vardas154      Pavarde154      4.36
Vardas155      Pavarde155      6.68
Vardas156      Pavarde156      3.72
Vardas157      Pavarde157      5.60
Vardas158      Pavarde158      4.96
Vardas159      Pavarde159      7.92
Vardas160      Pavarde160      8.48
Vardas161      Pavarde161      3.00
Vardas162      Pavarde162      7.68
Vardas163      Pavarde163      4.00
Vardas164      Pavarde164      7.08
Vardas165      Pavarde165      7.80
Vardas166      Pavarde166      5.00
Vardas167      Pavarde167      3.56
Vardas168      Pavarde168      8.48
Vardas169      Pavarde169      4.36
Vardas170      Pavarde170      3.80
Vardas171      Pavarde171      4.92
Vardas172      Pavarde172      2.60
Vardas173      Pavarde173      8.16
